Species,Cover,Transect,Cover Type,Year
Sisyrinchium_bellum,12,Up1,Native,2021
Stipa_pulchra,6,Up 1,Native,2021
Lupinus microcarpus,22,Up1,Native,2021
Lupinus_succulentus,1,Up1,Native,2021
Asclepias_fascicularis,1,Up1,Native,2021
Stipa_pulchra,25,Up1,Native,2021
Lupinus microcarpus,11,Up1,Native,2021
Asclepias_fascicularis,1,Up1,Native,2021
Stipa_pulchra,45,Up1,Native,2021
Sisyrinchium_bellum,3,Up1,Native,2021
Asclepias_fascicularis,2,Up1,Native,2021
Lupinus microcarpus,23,Up1,Native,2021
Stipa_pulchra,4,Up1,Native,2021
Sisyrinchium_bellum,4,Up1,Native,2021
Artemisia_californica,2,Up1,Native,2021
Lupinus microcarpus,1,Up1,Native,2021
Sisyrinchium_bellum,8,Up1,Native,2021
Corethrogyne_filaginifolia,2,Up1,Native,2021
Lupinus_succulentus,1,Up1,Native,2021
Stipa_pulchra,4,Up1,Native,2021
Asclepias_fascicularis,1,Up1,Native,2021
Lupinus microcarpus,4,Up1,Native,2021
Sisyrinchium_bellum,5,Up1,Native,2021
Stipa_pulchra,5,Up1,Native,2021
Lupinus microcarpus,12,Up1,Native,2021
Plantago_erecta,1,Up1,Native,2021
Stipa_pulchra,31,Up1,Native,2021
Epilobium_canum,12,Up1,Native,2021
Corethrogyne_filaginifolia,2,Up1,Native,2021
Sisyrinchium_bellum,3,Up1,Native,2021
Asclepias_fascicularis,1,Up1,Native,2021
Lupinus microcarpus,1,Up1,Native,2021
Asclepias_fascicularis,3,Up1,Native,2021
Lupinus_succulentus,3,Up1,Native,2021
Lupinus microcarpus,4,Up1,Native,2021
Stipa_pulchra,6,Up1,Native,2021
Sisyrinchium_bellum,2,Up1,Native,2021
Corethrogyne_filaginifolia,7,Up1,Native,2021
Sisyrinchium_bellum,6,Up1,Native,2021
Stipa_pulchra,5,Up1,Native,2021
Asclepias_fascicularis,2,Up1,Native,2021
Lupinus microcarpus,9,Up1,Native,2021
Ambrosia_psilostachya,1,Up1,Native,2021
Sisyrinchium_bellum,16,Up1,Native,2021
Stipa_pulchra,7,Up1,Native,2021
Asclepias_fascicularis,2,Up1,Native,2021
