Species,Cover,Transect,Cover type,Year
Carex_praegracilis,4,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Stipa_pulchra,1,Bio,Native,2023
Distichlis_spicata,2,Bio,Native,2023
Stipa_pulchra,3,Bio,Native,2023
Juncus_textilis,3,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Malvella_leprosa,2,Bio,Native,2023
Centromadia_parryi_australis,1,Bio,Native,2023
Distichlis_spicata,4,Bio,Native,2023
Stipa_pulchra,10,Bio,Native,2023
Deinandra_fasciculata,2,Bio,Native,2023
Acmispon_maritimus,1,Bio,Native,2023
Lupinus_succulentus,10,Bio,Native,2023
Deinandra_fasciculata,15,Bio,Native,2023
Distichlis_spicata,3,Bio,Native,2023
Stipa_pulchra,45,Bio,Native,2023
Deinandra_fasciculata,9,Bio,Native,2023
Centromadia_parryi_australis,1,Bio,Native,2023
Carex_praegracilis,38,Bio,Native,2023
Distichlis_spicata,7,Bio,Native,2023
Symphyotrichum_subulatum,1,Bio,Native,2023
Erigeron_canadensis,1,Bio,Native,2023
Stipa_pulchra,4,Bio,Native,2023
Distichlis_spicata,8,Bio,Native,2023
Stipa_pulchra,3,Bio,Native,2023
Distichlis_spicata,9,Bio,Native,2023
Deinandra_fasciculata,14,Bio,Native,2023
Distichlis_spicata,15,Bio,Native,2023
Centromadia_parryi_australis,1,Bio,Native,2023
Distichlis_spicata,1,Bio,Native,2023
Deinandra_fasciculata,6,Bio,Native,2023
Epilobium_brachycarpum,1,Bio,Native,2023
Stipa_pulchra,1,Bio,Native,2023
Carex_praegracilis,15,Bio,Native,2023
Distichlis_spicata,3,Bio,Native,2023
Carex_praegracilis,3,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Centromadia_parryi_australis,1,Bio,Native,2023
Distichlis_spicata,3,Bio,Native,2023
Carex_praegracilis,10,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Centromadia_parryi_australis,1,Bio,Native,2023
muhlenbergia_regens,10,Bio,Native,2023
Deinandra_fasciculata,12,Bio,Native,2023
Distichlis_spicata,1,Bio,Native,2023
Stipa_pulchra,1,Bio,Native,2023
Dudleya_lanceolata,3,Bio,Native,2023
Stipa_pulchra,12,Bio,Native,2023
Distichlis_spicata,5,Bio,Native,2023
Carex_praegracilis,16,Bio,Native,2023
Stipa_pulchra,6,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Artemisia_californica,10,Bio,Native,2023
Deinandra_fasciculata,5,Bio,Native,2023
Deinandra_fasciculata,30,Bio,Native,2023
Stipa_pulchra,80,Bio,Native,2023
Heterotheca_grandiflora,1,Bio,Native,2023
Acmispon_maritimus,10,Bio,Native,2023
Juncus_textilis,15,Bio,Native,2023
Malvella_leprosa,5,Bio,Native,2023
Carex_praegracilis,5,Bio,Native,2023
Deinandra_fasciculata,1,Bio,Native,2023
Lactuca_serriola,1,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Vicia_villosa,10,Bio,Exotic,2023
Medicago_polymorpha,25,Bio,Exotic,2023
Festuca_perennis,10,Bio,Exotic,2023
Avena_barbata,10,Bio,Exotic,2023
Centaurium_tenuiflorum,3,Bio,Exotic,2023
Helminthotheca_echioides,2,Bio,Exotic,2023
Lactuca_serriola,1,Bio,Exotic,2023
Lysimachia_arvensis,1,Bio,Exotic,2023
Festuca_perennis,8,Bio,Exotic,2023
Centaurium_tenuiflorum,6,Bio,Exotic,2023
Lythrum_hyssopifolia,1,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Trifolium_repens,1,Bio,Exotic,2023
Festuca_perennis,12,Bio,Exotic,2023
Centaurium_tenuiflorum,3,Bio,Exotic,2023
Trifolium_repens,9,Bio,Exotic,2023
Sonchus_oleraceus,1,Bio,Exotic,2023
Melilotus_indicus,1,Bio,Exotic,2023
Lactuca_serriola,1,Bio,Exotic,2023
Avena_barbata,35,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Medicago_polymorpha,30,Bio,Exotic,2023
Convolvulus_arvensis,2,Bio,Exotic,2023
Centaurium_tenuiflorum,4,Bio,Exotic,2023
Trifolium_repens,8,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Centaurium_tenuiflorum,25,Bio,Exotic,2023
Festuca_perennis,0,Bio,Exotic,2023
Avena_barbata,0,Bio,Exotic,2023
Helminthotheca_echioides,0,Bio,Exotic,2023
Vicia_sativa,0,Bio,Exotic,2023
Geranium_dissectum,0,Bio,Exotic,2023
Melilotus_indicus,6,Bio,Exotic,2023
Festuca_perennis,5,Bio,Exotic,2023
Sonchus_oleraceus,1,Bio,Exotic,2023
Festuca_perennis,40,Bio,Exotic,2023
Avena_fatua,5,Bio,Exotic,2023
Geranium_dissectum,1,Bio,Exotic,2023
Convolvulus_arvensis,4,Bio,Exotic,2023
Sonchus_asper,1,Bio,Exotic,2023
Lactuca_serriola,5,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Festuca_perennis,5,Bio,Exotic,2023
Medicago_polymorpha,4,Bio,Exotic,2023
Centaurium_tenuiflorum,2,Bio,Exotic,2023
Lythrum_hyssopifolia,1,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Lactuca_serriola,1,Bio,Exotic,2023
Sonchus_asper,1,Bio,Exotic,2023
Medicago_polymorpha,4,Bio,Exotic,2023
Festuca_perennis,2,Bio,Exotic,2023
Centaurium_tenuiflorum,6,Bio,Exotic,2023
Festuca_myuros,1,Bio,Exotic,2023
Bromus_hordeaceus,1,Bio,Exotic,2023
Avena_barbata,1,Bio,Exotic,2023
Centaurium_tenuiflorum,1,Bio,Exotic,2023
Festuca_perennis,90,Bio,Exotic,2023
Melilotus_indicus,3,Bio,Exotic,2023
Vicia_sativa,8,Bio,Exotic,2023
Centaurium_tenuiflorum,30,Bio,Exotic,2023
Vicia_sativa,2,Bio,Exotic,2023
Sonchus_oleraceus,1,Bio,Exotic,2023
Centaurium_tenuiflorum,30,Bio,Exotic,2023
Sonchus_asper,1,Bio,Exotic,2023
Festuca_perennis,12,Bio,Exotic,2023
Avena_barbata,2,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Melilotus_indicus,1,Bio,Exotic,2023
Festuca_perennis,18,Bio,Exotic,2023
Lactuca_serriola,1,Bio,Exotic,2023
Centaurium_tenuiflorum,2,Bio,Exotic,2023
Centaurium_tenuiflorum,6,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Avena_barbata,3,Bio,Exotic,2023
Festuca_perennis,10,Bio,Exotic,2023
Vicia_sativa,2,Bio,Exotic,2023
Lactuca_serriola,6,Bio,Exotic,2023
Vicia_sativa,5,Bio,Exotic,2023
Avena_barbata,3,Bio,Exotic,2023
Festuca_perennis,15,Bio,Exotic,2023
Melilotus_indicus,14,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Trifolium_repens,2,Bio,Exotic,2023
Lactuca_serriola,1,Bio,Exotic,2023
Avena_barbata,3,Bio,Exotic,2023
Sonchus_asper,1,Bio,Exotic,2023
Bromus_diandrus,1,Bio,Exotic,2023
Festuca_perennis,2,Bio,Exotic,2023
Medicago_polymorpha,4,Bio,Exotic,2023
Centaurium_tenuiflorum,1,Bio,Exotic,2023
Sonchus_sp,1,Bio,Exotic,2023
Bromus_hordeaceus,2,Bio,Exotic,2023
Vicia_villosa,1,Bio,Exotic,2023
Festuca_myuros,1,Bio,Exotic,2023
Helminthotheca_echioides,1,Bio,Exotic,2023
Tragopogon_porrifolius,1,Bio,Exotic,2023
Festuca_perennis,15,Bio,Exotic,2023
Centaurium_tenuiflorum,4,Bio,Exotic,2023
Bromus_hordeaceus,2,Bio,Exotic,2023
Melilotus_indicus,3,Bio,Exotic,2023
Bare Ground,137,Bio,Other,2023
Natural Thatch,70,Bio,Other,2023
Mowed Thatch,1004,Bio,Other,2023
Heterotheca_grandiflora,2,Up1,Native,2023
Artemisia_californica,1,Up1,Native,2023
Corethrogyne_filaginifolia,3,Up1,Native,2023
Stipa_pulchra,7,Up1,Native,2023
Lupinus_succulentus,7,Up1,Native,2023
Asclepias_fascicularis,1,Up1,Native,2023
Lupinus_succulentus,6,Up1,Native,2023
Asclepias_fascicularis,1,Up1,Native,2023
Epilobium_canum,2,Up1,Native,2023
Stipa_pulchra,1,Up1,Native,2023
Stipa_pulchra,12,Up1,Native,2023
Lupinus_succulentus,4,Up1,Native,2023
Artemisia_californica,8,Up1,Native,2023
Encelia_californica,3,Up1,Native,2023
Stipa_pulchra,15,Up1,Native,2023
Epilobium_canum,1,Up1,Native,2023
Stipa_pulchra,1,Up1,Native,2023
Erigeron_canadensis,1,Up1,Native,2023
Asclepias_fascicularis,2,Up1,Native,2023
Stipa_pulchra,4,Up1,Native,2023
Artemisia_californica,10,Up1,Native,2023
Plantago_erecta,1,Up1,Native,2023
Epilobium_brachycarpum,1,Up1,Native,2023
Ambrosia_psilostachya,2,Up1,Native,2023
