species,cover,transect,cover_type
Ambrosia_psilostachya,9,Upland-1,Native
Stipa_pulchra,5,Upland-1,Native
Plantago_erecta,1,Upland-1,Native
Ambrosia_psilostachya,6,Upland-1,Native
Heterotheca_grandiflora,1,Upland-1,Native
Stipa_pulchra,9,Upland-1,Native
Cyperus_eragrostis,1,Upland-1,Native
Isocoma_menziesii,1,Upland-1,Native
Stipa_pulchra,35,Upland-1,Native
Ambrosia_psilostachya,2,Upland-1,Native
Isocoma_menziesii,1,Upland-1,Native
Sisyrinchium_bellum,1,Upland-1,Native
Epilobium_canum,1,Upland-1,Native
Stipa_pulchra,15,Upland-1,Native
Sisyrinchium_bellum,9,Upland-1,Native
Baccharis_pilularis,16,Upland-1,Native
Croton_setiger,1,Upland-1,Native
Stipa_pulchra,15,Upland-1,Native
Sisyrinchium_bellum,5,Upland-1,Native
Plantago_erecta,1,Upland-1,Native
Stipa_pulchra,30,Upland-1,Native
Asclepias_fascicularis,2,Upland-1,Native
Stipa_pulchra,6,Upland-1,Native
Sisyrinchium_bellum,4,Upland-1,Native
Isocoma_menziesii,4,Upland-1,Native
Stipa_pulchra,8,Upland-1,Native
Sisyrinchium_bellum,1,Upland-1,Native
Artemisia_californica,8,Upland-1,Native
Stipa_pulchra,4,Upland-1,Native
Sisyrinchium_bellum,3,Upland-1,Native
Isocoma_menziesii,1,Upland-1,Native
Baccharis_pilularis,3,Upland-1,Native
Stipa_pulchra,19,Upland-1,Native
Sisyrinchium_bellum,5,Upland-1,Native
Asclepias_fascicularis,1,Upland-1,Native
Stipa_pulchra,8,Upland-1,Native
Sisyrinchium_bellum,3,Upland-1,Native
Sisyrinchium_bellum,12,Upland-1,Native
Stipa_pulchra,9,Upland-1,Native
Cyperus_eragrostis,2,Upland-1,Native
Stipa_pulchra,22,Upland-1,Native
Sisyrinchium_bellum,6,Upland-1,Native
Corethrogyne_filaginifolia,3,Upland-1,Native
Stipa_pulchra,15,Upland-1,Native
Asclepias_fascicularis,10,Upland-1,Native
Sisyrinchium_bellum,1,Upland-1,Native
Stipa_pulchra,12,Upland-1,Native
