parent_global_id,date,year,monitor_names,transect_name_number,vernal_pool_axis,project_site,total_transect_length,transect_distance_of_quadrat,side_of_transect_left_or_right,vernal_pool_zone,quadrat_notes_optional,percent_cover,psoc,cover_category,habitat
41ec2191-ba36-42e8-abb8-2ccbacfc15c3,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,0,Left,edge,NA,0,Bare Ground,BARE GROUND,Vernal Pool
3a9babf4-6984-4f04-8699-a0da07a6ba63,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,2,Right,transition,NA,0,Bare Ground,BARE GROUND,Vernal Pool
81f1a711-7ffb-4f01-a743-a69b908cf2f9,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,4,Left,transition,NA,9,Bare Ground,BARE GROUND,Vernal Pool
3ccf80c6-dbd9-481e-8933-3d9a1297233b,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,6,Right,bottom,NA,7,Bare Ground,BARE GROUND,Vernal Pool
a04ca7f2-11df-4d28-82ff-88a80041573e,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,8,Left,bottom,NA,20,Bare Ground,BARE GROUND,Vernal Pool
f197696a-4df4-4a92-8770-d5ae29726496,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,10,Right,bottom,NA,30,Bare Ground,BARE GROUND,Vernal Pool
13d881dc-47a2-4fb1-9336-44d28344879b,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,12,Left,bottom,NA,20,Bare Ground,BARE GROUND,Vernal Pool
0109ea76-5372-47d1-a2f4-35b91ed2fafc,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,14,Right,bottom,NA,24,Bare Ground,BARE GROUND,Vernal Pool
638e7968-6d73-49cb-970d-795188d964d4,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,16,Left,bottom,NA,20,Bare Ground,BARE GROUND,Vernal Pool
1f499808-5864-477d-a19b-9f6c747417c7,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,18,Right,bottom,NA,15,Bare Ground,BARE GROUND,Vernal Pool
f9e3c162-5c06-4a52-9e42-4c9c13b7d769,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,20,Left,bottom,Rabbit poop spotted,22,Bare Ground,BARE GROUND,Vernal Pool
a0aad3d7-989f-4c4e-98aa-08c5d9236c9b,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,22,Right,bottom,NA,25,Bare Ground,BARE GROUND,Vernal Pool
c80522ed-8176-4f5d-b0cc-21c1fd3baf6d,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,24,Left,transition,NA,1,Bare Ground,BARE GROUND,Vernal Pool
9920f992-4fc5-4c5f-9ff1-163f0dced5a7,2021-06-08,2021,Lauren Weichert,VP-016,major,north_parcel,26,26,Right,edge,NA,0,Bare Ground,BARE GROUND,Vernal Pool
91e9bc8d-dcdb-4ddd-90af-ecc78554cfa1,2021-06-08,2021,Lauren Weichert,Bioswale-01,NA,north_parcel,40,0,Left,NA,NA,25,Bare Ground,BARE GROUND,NA
24367a34-7fa6-4e7d-b8ef-cdce1ce4f916,2021-06-08,2021,Lauren Weichert,Bioswale-01,NA,north_parcel,40,2,Right,NA,NA,20,Bare Ground,BARE GROUND,NA
3a25d0d7-a5ad-49e3-a969-8b15d0301450,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,6,Left,NA,NA,4,Bare Ground,BARE GROUND,NA
16d13b3a-91fc-4ac5-9ce8-5e2eb599bb19,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,8,Right,NA,NA,4,Bare Ground,BARE GROUND,NA
ed13d658-78f7-4f52-8244-c4979299bc44,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,10,Left,NA,NA,0,Bare Ground,BARE GROUND,NA
900377cc-f09e-47a0-af4a-3ba9a53d3528,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,12,Right,NA,NA,3,Bare Ground,BARE GROUND,NA
d65d1680-572a-4fa1-bb47-1fc55080a66a,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,14,Left,NA,NA,3,Bare Ground,BARE GROUND,NA
331467be-de3c-40ae-9c7f-41ee2347ade6,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,16,Right,NA,NA,12,Bare Ground,BARE GROUND,NA
1b50c990-1efd-4eff-abe7-d83652d27e3f,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,18,Left,NA,NA,21,Bare Ground,BARE GROUND,NA
6751cfe4-2630-43e8-a36e-b23b1091aa26,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,20,Right,NA,NA,3,Bare Ground,BARE GROUND,NA
0b17abe5-bcf6-493d-acb4-ccc92e0e8b4f,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,22,Left,NA,NA,2,Bare Ground,BARE GROUND,NA
6cdc4bd0-3a3c-49c9-b561-eb3f06bc1d12,2021-06-09,2021,"Lauren Weichert, Ethan Anadon",Bioswale-01,NA,north_parcel,40,24,Right,NA,NA,10,Bare Ground,BARE GROUND,NA
